id,LONGITUDE,LATITUDE
B070,586893.6985065717,4500560.006261459
B073,587194.0773777623,4502763.899629771
B073,587344.9914066578,4502493.637692992
B073,587495.9052873609,4502223.375606111
B073,587646.8190191407,4501953.113369169
B073,587651.9205496343,4501660.990399527
B073,587693.8923147791,4501354.306544429
B073,587735.8638677264,4501047.6226821635
B073,587527.5881144189,4500856.479538986
B073,587253.2787712238,4500713.054259415
B073,586978.9695875365,4500569.629118968
B073,586843.9923572734,4500805.118035347
B073,586772.9411006669,4501106.395190992
B073,586650.2166805286,4501373.380689646
B073,586400.2091461243,4501555.8974673515
B073,586346.7325747168,4501777.282509695
B073,586508.4426041922,4502041.225707869
B073,586670.1525843989,4502305.169109405
B073,586831.8625146097,4502569.112714359
B073,586993.5723941006,4502833.0565228015
B077,583687.917522296,4503439.803487786
B077,583903.0629154507,4503456.945486817
B078,593477.2130633484,4502924.461832276
B079,591303.6270448364,4504374.145586014
B079,591395.3577314828,4504325.76574448
B087,584214.0362139426,4500036.943521263
B087,584013.865284883,4500244.336286719
B087,584244.3219488581,4500286.21409732
B087,584439.6580289064,4500073.69105267
B088,588937.658460065,4504757.170518729
B088,589068.5156765522,4504925.710866925
B092,583049.3702035121,4497672.708087445
B092,583111.6995919836,4497634.453617894
B095,585012.8433021263,4502687.479429048
B096,589777.8319244729,4508669.0046684705
B098,582876.2188230283,4499939.172717587
B099,584691.3401912674,4497002.978539054
B102,587907.1818417591,4503960.062345792
B103,595448.0374680106,4502719.600794609
B103,595277.6220149075,4502843.156633983
B105,587790.294355992,4505449.680419757
B105,587827.6784492658,4505440.198668983
B106A,585905.7028353749,4494285.514948589
B106A,585976.9265113896,4494237.340415554
B106B,585873.6807902503,4494313.635539593
B107,593028.9912674061,4501870.266656743
B109,589199.9306165471,4493912.523352849
B109,589230.7730985029,4494126.575396972
B110,591868.2405487335,4503986.541237033
B111,585826.5874323274,4502914.99089842
B111,585771.961654631,4503016.208073743
B111A,585689.341980923,4502931.935024596
B112,587333.0995588136,4507292.87186656
B113B,585307.4378853475,4505414.480606438
B113C,585363.8581401826,4505258.893374702
B113C,585312.418587504,4505118.739153678
B113C,585287.2639928234,4505367.231422297
B113E,585350.7128256944,4505821.614596309
B114,589183.0885015083,4508568.151541798
B114,589153.3925755648,4508826.680209989
B114,589298.9321567442,4508714.556000537
B120,585179.8978143777,4502798.884390669
B120,585122.2742013037,4502790.524338249
B124,587448.1554329674,4507647.310940761
B127,589171.8463348151,4506966.91338973
B129,584776.2016284737,4492697.646640347
B129,585052.6277537378,4492619.645953751
B129,585318.5356630437,4492518.034877619
B129,585123.3572391606,4492411.18177716
B129,584848.5397682546,4492383.732723828
B129,584746.2875671806,4492642.3325895
B130,586510.3527088348,4500481.08046262
B130,586558.7461023128,4500473.943291304
B131,592470.6888607587,4504255.305355254
B132,589950.4454351382,4506664.6081094425
B135,587807.7359266053,4510009.038863872
B137,586067.1417015366,4504490.322019887
B139,591364.8065470001,4505440.240622592
B140,588853.2497333002,4504960.8773079645
B142,587502.4300951072,4506912.44361359
B144,591888.9219539505,4503219.716612061
B145,585759.2253897608,4503722.994816369
B145,585730.621167734,4503806.248345247
B146,583453.4552368405,4498396.402213384
B149A,594561.9791146097,4502328.938467316
B149B,594641.7012368968,4502262.299836764
B150,588138.2401493009,4497161.839046644
B151,586198.5015712834,4499135.415964598
B152,584481.8441531723,4498920.493437383
B153,591180.7770885783,4503349.111708468
B156,592539.2059736408,4502807.853699216
B157,588291.6845696277,4495309.8474490605
B159,587249.4282301753,4502763.135684918
B159,587448.3942932459,4502878.803759544
B161,587391.9547901537,4503406.776964531
B162,585001.1262959957,4499580.442835537
B163,594294.686403863,4503522.428397787
B163,594223.5520274264,4503536.893750851
B164,583644.808601137,4495166.857021796
B166B,588254.814604733,4493410.441173588
B166C,585490.7352031249,4492693.982975877
B166C,585374.4154118742,4492874.120495904
B166C,585470.037408877,4493149.528821419
B166C,585577.4678355196,4492970.367974459
B166D,593156.4771983832,4497211.546715318
B166D,593203.6879859731,4496927.026717912
B166D,593235.3462358876,4496622.2156574875
B166D,593241.3368007533,4496311.014875799
B166D,593206.8427614961,4496003.699459897
B166D,593141.7746668138,4495699.318365948
B166D,593009.5444647943,4495672.218599248
B166D,593031.99671144085,4495972.524979077
B166D,592933.8574915848,4496239.563516204
B166D,592942.0222216555,4496419.486139527
B166D,593167.8513791151,4496623.601713903
B166D,593165.9606174652,4496892.673155134
B166D,592965.1734661306,4497130.509914463
B166D,593054.3217328005,4497345.276852639
B167A,587867.4946693192,4507076.490783415
B168,587800.5134949631,4507176.060934317
B169,588525.7068674177,4492028.322378464
B169,588326.7427772059,4491991.698174377
B169,588108.0716055601,4491955.280016563
B169,587825.291929517,4491953.461454249
B169,587527.1310111582,4491918.158553524
B169,587234.9405636443,4491852.819779553
B169,587081.2414744885,4491800.914313566
B169,586919.9168166242,4491761.3941455195
B169,586725.7820141047,4491749.260181232
B169,586543.1660300965,4491727.084229021
B169,586405.742472572,4491715.708649275
B169,586233.4133697937,4491711.19458122
B169,586012.3571930882,4491670.809659264
B169,585718.1117796191,4491621.373718537
B169,585437.311315801,4491557.452805185
B169,585163.7173223734,4491556.460239251
B169,584912.7468215281,4491531.89817109
B169,584615.6352345343,4491550.451285823
B169,584457.0750283705,4491550.284777546
B169,584504.0528504591,4491760.304173101
B169,584798.7332468327,4491702.78450855
B169,585096.7082032176,4491689.832280033
B169,585394.8959231201,4491718.498080871
B169,585690.0006552126,4491773.802530694
B169,585985.1055886098,4491829.10698546
B169,586280.2107238829,4491884.411445522
B169,586575.3160615974,4491939.715911217
B169,586870.4216023223,4491995.020382891
B169,587165.5273466252,4492050.324860888
B169,587461.7287434447,4492097.305714618
B169,587761.0953046563,4492120.237971381
B169,588060.4620679215,4492143.170190917
B169,588359.8290338874,4492166.102373367
B169A,587532.6255882387,4492083.19446134
B169B,585351.0944163665,4491706.25996416
B169B,585281.5967114974,4491856.057157162
B169C,585624.0373205079,4491863.119445129
B173,589572.0722534435,4497143.155811205
B192,581495.0229523947,4497723.797180647
B192A,581325.4364905965,4497713.031820415
B192A,581496.3546548178,4497807.903681739
B193,589590.4682954929,4501812.041413483
B197,588226.0052202186,4494585.793870896
B207,589849.9220891787,4497156.198798288
B208,589261.3554962304,4496546.172794807
B210A,582505.5010548536,4499241.473907442
B210B,584076.1102711459,4501051.734720192
B210D,584844.4034751919,4502218.694967124
B210H,583982.5109598297,4503953.632257832
B210H,584029.5690480394,4503947.89142533
B210I,583789.435773661,4500682.49365214
B210J,583514.4740801284,4500326.737744381
B210V,582336.7851454574,4496446.465667276
B210W,582125.8287060191,4496340.933140843
B210W,581950.3387778318,4496067.704361569
B210W,581958.9315068317,4496209.796052407
B210W,582130.9955181484,4496485.544553674
B214,593985.4834475713,4501440.084698002
B214,594100.7331278613,4501604.44834195
B214,594184.0385905929,4501459.928553404
B215,589850.4098895984,4503906.935605918
B216,589654.8376225522,4504520.717246635
B217,588596.952669567,4505499.273480077
B217,588684.4084094508,4505468.631126448
B218,589813.2319330305,4499003.438008124
B218,589775.7056414485,4499239.50419556
B220,587314.9837171664,4505479.632997814
B221,587585.9874731692,4505734.831032286
B222,584676.1384090941,4505547.975787711
B223B,584346.5426832319,4503762.070543694
