row,id,name,acres,courts,plygrnd,trails,type,PK_7_1,PK_7_2,PK_7_3,PK_7_4,PK_7_5,PK_7_6,PK_7_7,PK_7_8,PK_7_9,PK_7_10,PK_7_22,PK_7_23,PK_7_24,PK_7_25,PK_7_26,PK_7_27,PK_7_28,PK_7_29,PK_7_30,PK_8_8,PK_8_15,PK_8_24,PK_8_25,PK_9_1,PK_9_2,PK_9_3,PK_9_4,PK_9_5,PK_9_6,PK_9_7,PK_9_8,PK_9_9,PK_9_10,PK_9_11,PK_9_12,PK_9_13,PK_9_14,PK_9_15,PK_9_16,PK_9_17,PK_9_18,PK_9_19,PK_9_20,PK_9_21,PK_9_22,PK_9_23,PK_9_24,PK_9_25,PK_9_26,PK_9_27,PK_9_28,PK_9_29,PK_9_30,PK_10_1,PK_10_2,PK_10_3,PK_10_4,PK_10_5,PK_10_6,PK_10_7,PK_10_8,PK_10_9,PK_10_10,PK_10_12,PK_10_13,PK_10_14,PK_10_15,PK_10_16,PK_10_17,PK_10_18,PK_10_19,PK_10_20,PK_10_21,PK_10_22,PK_10_23,PK_10_24,PK_10_25,PK_10_26,PK_10_27,PK_10_28,PK_10_29,PK_10_30,PK_10_31
23,B044,Dr. Ronald McNair Park,1.502063456,0,0,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,B047,Highland Park,44.80443965,0,0,0,park,2,0,1,0,0,0,0,1,1,1,5,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,3,1,1,2,0,2,1,1,0,0,0,1,1,1,2,1,0,1,0
25,B048,Brooklyn Museum,11.51379979,0,0,0,park,0,2,12,5,71,35,5,4,8,10,2,8,38,9,19,29,7,6,0,0,0,0,0,2,0,1,3,0,11,2,3,0,3,2,0,1,0,2,0,5,3,0,4,1,1,0,1,1,0,7,2,1,1,11,22,9,68,34,5,3,5,19,5,14,6,0,2,27,20,33,11,0,3,9,27,14,34,19,2,4,21,11,7
26,B049,Irving Square Park,2.769744815,0,0,0,park,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,B050,Van Voorhees Park,3.270475944,0,0,0,park,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0
28,B051,Kelly Park,3.530466614,0,0,0,park,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,B052,Leif Ericson Park,13.83167008,0,0,0,park,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0
30,B054,Lincoln Terrace / Arthur S. Somers Park,20.10328764,0,0,0,park,0,0,3,0,0,2,0,10,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,B055,Sternberg Park,4.046623041,0,1,0,park,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,0,1,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,11,0,0,0,0
32,B056,Martin Luther King Jr. Playground,2.336918663,0,1,0,park,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
