geoid,LATITUDE,LONGITUDE,Y,X
36081008600,40.676936999999846,-73.84125099999999,4503540.495073592,597927.8596481459
36081008700,40.77396799999984,-73.934355,4514212.055745543,589928.6179885124
36081008800,40.670986999999826,-73.839309,4502882.170987706,598100.7065544594
36081009100,40.775290999999854,-73.927864,4514365.594044102,590474.6009033752
36081009400,40.681388999999825,-73.83634,4504040.180686053,598336.3620250471
36081009500,40.774211999999814,-73.919935,4514254.02476097,591145.1938976598
36081009600,40.681183999999845,-73.832442,4504021.793249007,598666.0760350731
36081009700,40.77643599999985,-73.918662,4514502.23025558,591249.5791300826
36081009800,40.685445999999835,-73.831046,4504496.472834645,598777.7563005324
36081009900,40.77895499999984,-73.922343,4514778.036926245,590935.5140142621
36081010000,40.680948999999835,-73.828672,4503999.9460358955,598985.019439931
36081010100,40.778473999999854,-73.91624199999998,4514730.985175775,591451.0011891621
36081010200,40.67887199999984,-73.822931,4503775.86681494,599473.2704568432
36081010300,40.78069699999985,-73.914757,4514979.305758068,591573.2592510307
36081010400,40.683244999999836,-73.826507,4504257.258605432,599164.5769880381
36081010500,40.78287799999985,-73.91307499999999,4515223.172227624,591712.1892902707
36081010600,40.68548199999983,-73.82487699999999,4504507.421742852,599299.000487309
36081010701,40.785291999999814,-73.906084,4515498.480333262,592298.741735124
36081010800,40.688673999999814,-73.830655,4504855.242889063,598806.0285809651
36081011000,40.68719999999984,-73.834974,4504686.771071494,598443.2481451214
36081011100,40.77885099999985,-73.907587,4514781.895263538,592180.8299612649
36081011200,40.684130999999844,-73.838949,4504341.645359304,598111.8597195981
36081011300,40.77634599999984,-73.908593,4514502.762963952,592099.3993667993
36081011400,40.68739799999984,-73.841465,4504701.498857937,597894.4655403084
36081011500,40.774122999999854,-73.91405,4514250.276519304,591641.9520701505
36081011600,40.68850899999985,-73.838858,4504827.735162998,598113.1280544938
36081011700,40.77229299999984,-73.910386,4514050.965985433,591953.6812443138
36081011800,40.69058399999983,-73.833737,4505063.8052239455,598542.7895556671
36081011900,40.771333999999825,-73.906244,4513948.8592414465,592304.5626400898
36081012000,40.69146999999984,-73.82873199999999,4505167.782656527,598964.3823474417
36081012100,40.77298599999984,-73.903836,4514134.78116329,592505.4914485926
36081012200,40.69639899999982,-73.831082,4505712.292372273,598758.5394063382
36081012301,40.774746999999834,-73.901371,4514332.868893934,592711.0688008844
36081012400,40.69546599999983,-73.834393,4505605.006137584,598480.1706587909
36081012500,40.77160099999982,-73.916014,4513968.264221445,591479.6690852814
36081012601,40.69371499999984,-73.837497,4505407.158121429,598220.4852396224
36081012602,40.693316999999844,-73.840791,4505359.300155797,597942.7505771887
36081012800,40.698315999999835,-73.840201,4505914.8823429905,597985.2759379812
36081013000,40.70008699999985,-73.837741,4506114.222628437,598190.5117783783
36081013200,40.70116799999985,-73.834137,4506238.255883091,598493.4004605302
36081013400,40.70542299999984,-73.834437,4506710.255373034,598461.7884994942
36081013500,40.77075599999983,-73.898971,4513892.374721774,592919.1642149041
36081013600,40.70671499999985,-73.828833,4506859.973588637,598933.2882484284
36081013700,40.76937999999985,-73.904534,4513733.75013951,592451.5846367241
36081013800,40.707000999999835,-73.825756,4506895.191936623,599192.796170846
36081014000,40.70366699999985,-73.829635,4506520.720329563,598870.0465964267
36081014100,40.76759999999983,-73.90905199999999,4513531.404413421,592072.7393517012
36081014201,40.700685999999834,-73.824935,4506195.108263788,599271.5277777673
36081014202,40.700422999999844,-73.819947,4506171.561931084,599693.323840482
36081014300,40.76639999999985,-73.911627,4513395.495599351,591857.0656838784
36081014400,40.69865999999985,-73.828483,4505966.204352747,598974.7793233361
36081014500,40.76447799999983,-73.908029,4513185.9116279185,592163.3924756018
36081014700,40.76305099999983,-73.910866,4513024.527055167,591925.9090212513
36081014800,40.69435499999983,-73.822841,4505494.690070327,599457.852781777
36081014900,40.76181599999984,-73.914097,4512884.052172964,591654.8955319072
36081015000,40.69343099999983,-73.821067,4505394.12916895,599609.1170739323
36081015100,40.76023699999984,-73.91077,4512712.251456213,591937.889612981
36081015200,40.69354099999985,-73.813901,4505414.488838178,600214.4271619823
36081015300,40.75815299999984,-73.913768,4512477.774194944,591687.6987103068
36081015400,40.69202699999984,-73.821156,4505238.174270916,599603.6882625095
36081015500,40.75976199999985,-73.917296,4512652.705331406,591387.6947900965
36081015600,40.69033299999986,-73.820658,4505050.692907934,599648.2904560923
36081015700,40.75590999999984,-73.921189,4512221.056144094,591064.349864974
36081015801,40.68880099999983,-73.81265099999999,4504889.741473221,600327.1531477855
36081015802,40.687533999999836,-73.819649,4504741.128922868,599737.721245521
36081015900,40.75592999999983,-73.91835,4512226.226333296,591303.9717816806
36081016100,40.75512799999982,-73.91421099999998,4512141.512890971,591654.4598259111
36081016300,40.756329999999835,-73.909547,4512279.8260445995,592046.5100458912
36081016400,40.685001999999834,-73.816838,4504463.253520569,599979.0355969094
36081016600,40.681680999999834,-73.82091,4504089.974577208,599639.884034259
36081016800,40.679721999999835,-73.817514,4503876.367917693,599929.7976786613
36081016900,40.747987999999836,-73.914179,4511348.951499413,591666.967407281
36081017000,40.684319999999836,-73.812055,4504392.999486687,600384.2387657601
36081017100,40.75172499999982,-73.922376,4511755.257902391,590969.8560037564
36081017200,40.68207899999984,-73.812306,4504143.946103154,600366.3902253946
36081017400,40.68048499999984,-73.810898,4503968.60997449,600487.7703513618
36081017600,40.67875999999982,-73.80993599999998,4503778.223396517,600571.661015945
36081017800,40.67709999999984,-73.808799,4503595.253625021,600670.2478565805
36081017900,40.74396499999984,-73.925742,4510890.355679356,590696.2466873853
36081018000,40.67590299999984,-73.80516199999998,4503466.550570707,600979.4295029559
36081018101,40.744367999999824,-73.924231,4510936.654108097,590823.2696598517
36081018102,40.74458999999984,-73.922211,4510963.389940644,590993.511337989
36081018200,40.67629999999982,-73.798712,4503518.050774735,601523.9486356997
36081018300,40.7448789999998,-73.919781,4510997.993133881,591198.2755629899
36081018401,40.67524399999983,-73.791952,4503408.657924384,602096.8777157918
36081018402,40.67902899999986,-73.7943,4503826.094618795,601892.6707480076
36081018501,40.73865799999983,-73.922071,4510305.038900879,591013.4175409025
36081018502,40.74051999999983,-73.92183299999999,4510511.981488722,591030.9744095947
36081018600,40.680042999999834,-73.798375,4503933.939281424,601546.7493190747
36081018700,40.73687499999985,-73.92385,4510105.269817282,590865.6338563554
36081018800,40.68207199999983,-73.798272,4504159.291599429,601552.3739947183
36081018900,40.739962999999875,-73.927055,4510444.748060617,590590.8224765769
36081019000,40.68532999999982,-73.795349,4504524.334621314,601794.4308615165
36081019200,40.68408199999984,-73.800069,4504380.340812103,601397.4680547466
36081019400,40.68613199999985,-73.80311,4504604.400930353,601137.3900701726
36081019600,40.68960399999984,-73.799812,4504993.618840888,601410.8136312036
36081019800,40.69184999999985,-73.80282599999998,4505239.46681393,601152.7407674702
36081019900,40.73814199999983,-73.935552,4510233.869430645,589875.8430262323
36081020200,40.68986399999984,-73.807486,4505013.652190924,600761.9870880232
36081020400,40.69360799999982,-73.8053,4505431.772259013,600941.0471495682
36081020500,40.73345199999984,-73.919287,4509730.024766018,591255.5990488105
36081020600,40.69461999999985,-73.809435,4505539.369168887,600590.1481766279
36081020800,40.697093999999844,-73.807808,4505815.865176566,600723.8888618575
36081021200,40.70106899999984,-73.812589,4506251.648795384,600313.9871169903
36081021400,40.70687299999984,-73.814908,4506893.290053543,600109.3788279685
36081021600,40.70889799999984,-73.824278,4507107.443078745,599314.8323476105
36081021900,40.72184199999985,-73.914407,4508446.314793529,591683.6089689676
36081022001,40.713917999999836,-73.821025,4507668.38388562,599582.1433314343
36081022002,40.71216399999986,-73.815325,4507480.155393229,600066.2306025387
36081022900,40.73213799999982,-73.907278,4509596.713235755,592271.4750299999
